evidence_id,claim,statistic,unit,geography,population,sample,reference_year,publication_year,organization,document_title,table_or_page,primary_url,source_grade,direct_or_indirect,verification_status,limitations
E-A01,음식점 및 주점업(KSIC 56) 사업체수·종사자수·매출액,"사업체 794천개, 종사자 2117천명, 매출액 191조4710억원",천개/천명/십억원,전국,KSIC 56 사업체 전체,표본 250533개 사업체,2023,2024,통계청,2023년 서비스업조사 결과(잠정),"p.3, p.9, p.20",https://mods.go.kr/boardDownload.es?bid=240&list_no=434269&seq=3,S,Direct,PASS,잠정치
E-A13,숙박·음식점업 신생기업 연차별 생존율,"2018년 창업 코호트 5년 생존율 20.5% (전산업 31.2%)",%,전국,KSIC I 신생기업 코호트,전수(행정자료),2018~2023,2024,통계청,2023년 기업생멸행정통계 결과,"2.1① 산업별 신생기업 생존율, p.53",https://mods.go.kr/boardDownload.es?bid=11469&list_no=434555&seq=3,S,Direct,PASS,숙박업 포함 대분류 I 기준. KSIC 56 단독 수치 아님
E-A12,숙박·음식점업 활동기업·신생률·소멸률,"활동기업 918302개, 신생률 17.2%, 소멸률 13.9%",개/%,전국,KSIC I 영리기업,전수(행정자료),2023,2024,통계청,2023년 기업생멸행정통계 결과,1.4 산업별 기업규모별 기업 수,https://mods.go.kr/boardDownload.es?bid=11469&list_no=434555&seq=3,S,Direct,PASS,숙박업 포함
E-N201,2024년 기준 소상공인실태조사부터 매출·영업비용 등 재무항목이 설문에서 제외됨,정성적 서술,N/A,전국,소상공인 11개 업종 기업체,약 4만개 기업,2024,2026,중소벤처기업부·소상공인시장진흥공단,2024년 기준 소상공인실태조사 결과 발표,보도자료 본문 p.2,https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS,별첨에는 전산업 합계 시계열만 잔존
E-N203,숙박·음식점업 소상공인 기업체수·종사자수,"79.6만개(13.0%), 142.3만명(14.8%)",만개/만명/%,전국,숙박·음식점업(대분류 I) 기업체,약 4만개 기업 중 해당 업종,2024,2026,중소벤처기업부·소상공인시장진흥공단,2024년 기준 소상공인실태조사 결과 발표,별첨 1. 산업별 기업체 및 종사자 수 표,https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS(Loop1 정정),"대분류 I 기준. KSIC 56 단독 아님. 기업체 단위(사업체 아님). 초안의 ''업종 중 3위'' 서술은 원문이 6개 업종만 개별 공표하고 나머지 5개를 기타산업(192.6만개)으로 묶었기 때문에 확정 불가 — 메인 Agent가 원문 표를 직접 재확인해 삭제하고 ''개별 공표된 업종 중 도·소매업 다음''으로 완화함"
E-N204,소상공인 경영애로 11개 항목 전체(전체 기준)에 마케팅·홍보 항목 없음,"경쟁심화61.0 원재료비49.6 상권쇠퇴33.5 임차료28.6 최저임금17.5 판로개척및운영16.0 부채상환10.3 인력관리7.5 디지털기기도입3.5 기술개발2.8 기타0.5",%(복수응답),전국,소상공인 11개 업종 기업체,약 4만개 기업,2024,2026,중소벤처기업부·소상공인시장진흥공단,2024년 기준 소상공인실태조사 결과(별첨 통계표),별첨 12. 경영애로 및 재난 발생시 필요정책,https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS,복수응답이라 합계 100% 아님
E-N205,숙박·음식점업 경영애로 — 판로개척및운영은 3.4%로 11개 항목 중 8위,"상권쇠퇴28.6 경쟁심화62.4 원재료비73.9 최저임금26.3 임차료32.8 부채상환6.0 인력관리4.2 판로개척및운영3.4 디지털기기도입0.8 기술개발1.1 기타0.2",%(복수응답),전국,숙박·음식점업 소상공인 기업체,약 4만개 기업 중 해당 업종,2024,2026,중소벤처기업부·소상공인시장진흥공단,2024년 기준 소상공인실태조사 결과(별첨 통계표),별첨 12. 경영애로(복수응답) 산업별 표,https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS,판로개척및운영은 마케팅과 동일 개념이 아님. 대분류 I 기준
E-N206,디지털·스마트기술 활용 — 숙박·음식점업 디지털광고는 1.6%,"전체: 스마트주문결제15.2 매장관리34.4 생산자동화3.9 디지털광고6.5 온라인판로49.0 경영관리SW19.6 / 숙박음식점업: 43.3 46.7 0.3 1.6 25.9 5.1",%(복수응답),전국,소상공인 기업체(전체/숙박음식점업),약 4만개 기업,2024,2026,중소벤처기업부·소상공인시장진흥공단,2024년 기준 소상공인실태조사 결과(별첨 통계표),별첨 11. 디지털‧스마트 기술 활용(복수응답),https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS,전체 종합 활용률 27.2%는 전산업 기준이며 업종별 종합 활용률은 미공표
E-N207,2025년 외식업체 경영실태조사 개요,모집단 793082개 사업체 / 표본 3138개,개,전국 17개 시도,KSIC 56 사업체,3138개 업체,2024(재무기준),2026,농림축산식품부·한국농촌경제연구원,2025 외식업체 경영실태 조사 보고서,1편 조사개요 p.3~4,https://www.mafra.go.kr/bbs/home/798/577154/artclView.do,A,Direct,PASS,조사수행 2025.8~10 / 재무기준연도는 2024년
E-N208,전체 외식업체 평균 매출·영업이익률·비용구조(2024년 기준),"매출 2억5526만원, 영업이익률 8.7%, 식재료비40.7% 고용인인건비14.3% 대표자인건비13.3% 임차료7.7%",만원/%,전국,KSIC 56 사업체,3138개,2024,2026,농림축산식품부·한국농촌경제연구원,2025 외식업체 경영실태 조사 보고서,p.321 표3-16-1 (p.320은 그림3-16),https://www.mafra.go.kr/bbs/home/798/577154/artclView.do,A,Direct,PASS(Loop1 정정),표본조사. 자기보고 기반. 초안의 페이지 표기(p.320 표)를 Source Verifier 지적에 따라 정정. 원문 서술문(91.5%)과 표(91.3%)에 내부 불일치가 있어 더 정밀한 표 값을 채택함
E-N209,외식업체 경영애로 7개 항목에 마케팅·홍보·고객확보 항목 없음,"식재료비상승94.1 경쟁심화86.9 임차료상승79.9 제도적규제76.8 인건비상승76.3 홀서빙구인57.8 조리구인53.4",%,전국,KSIC 56 사업체,3138개,2024,2026,농림축산식품부·한국농촌경제연구원,2025 외식업체 경영실태 조사 보고서,p.300 그림3-11 (표3-11-1 아님),https://www.mafra.go.kr/bbs/home/798/577154/artclView.do,A,Direct,PASS(Loop1 정정),폐쇄형 7문항 설계. 원문 전문 키워드검색 결과 마케팅/홍보/고객확보/판로 0건. 초안의 도표 번호·페이지 표기를 Source Verifier 지적에 따라 정정
E-N210,외식산업경기동향지수 2026년 2분기,현재지수 78.82 / 3분기 전망지수 84.08,지수(100=변화없음),전국,외식산업 사업체 표본,미상,2026 2분기,2026,한국농수산식품유통공사·농림축산식품부,2026년 2분기 외식산업경기동향지수,p.1,https://kass.mafra.go.kr/newkass/kas/pblictn/stats/selectPblictnList.do,A,Direct,PASS,2025년 1분기부터 KSIC 11차 개정으로 시계열 일부 재분류
E-N212,국세청 발 음식점업 폐업률 수치는 원문 확인 불가이며 언론 간 수치 불일치,"16.2% / 19.4~19.7% / 15.2~18.2% (기사별 상이)",%,전국,국세청 사업자등록 기준(정의 불명),전수(주장),2023~2024,2024~2025,출처 불명(국세청으로 주장),없음,없음,확인 불가,D,Indirect,REMOVE,원자료 미확인 + 언론 간 수치 불일치. 최종 보고서에서 제외
E-B01,배달앱 이용자의 음식점·메뉴 선택 시 리뷰 참고율,73.4% (734/1000명),%,전국,최근 1년 내 배달 플랫폼 이용 소비자,1000명,2024,2024,한국소비자원,배달 플랫폼 리뷰 실태조사,원문 HWP 페이지 미확인,https://www.kca.go.kr/webzine/board/view?menuId=MENU00307&linkId=732&div=kca_2409,A,Direct,PASS,모집단이 배달앱 이용자. 매장방문 소비자 전체로 일반화 불가. 원문 HWP 미열람(기관 웹진·소비자24 교차확인)
E-B02,배달앱 이용자의 리뷰 작성 경험률,77.3% (773/1000명),%,전국,배달 플랫폼 이용 소비자,1000명,2024,2024,한국소비자원,배달 플랫폼 리뷰 실태조사,미확인,https://www.kca.go.kr/webzine/board/view?menuId=MENU00307&linkId=732&div=kca_2409,A,Direct,PASS,자기보고. 배달앱 맥락 한정
E-B03,리뷰 작성자 중 리뷰이벤트 참여를 작성 이유로 답한 비율,65.2% (504/773명),%,전국,리뷰 작성 경험 있는 배달앱 이용자,773명,2024,2024,한국소비자원,배달 플랫폼 리뷰 실태조사,미확인,https://www.consumer.go.kr/user/ftc/consumer/cnsmrBBS/740/selectInfoCDMGCSLCDetail.do?infoId=A1080536,A,Direct,PASS,배달앱 한정. 포털 지도 리뷰에 동일 적용 불가
E-B04,리뷰이벤트 참여자 중 실제 만족도보다 높은 별점을 준 비율,79.6%(401명)가 영향 있다고 답하고 그중 98.3%(394명)가 상향 평가,%,전국,리뷰이벤트 참여 경험 배달앱 이용자,401명,2024,2024,한국소비자원,배달 플랫폼 리뷰 실태조사,미확인,https://www.consumer.go.kr/user/ftc/consumer/cnsmrBBS/740/selectInfoCDMGCSLCDetail.do?infoId=A1080536,A,Direct,PASS,배달앱 한정. 자기보고
